61,46,81
52,60,49
51,8,51
31,28,10
59,94,75
57,76,44
81,48,79
4,93,92
35,53,21
78,21,66
89,36,78
71,69,52
30,39,33
52,48,78
94,57,45
90,72,62
84,42,50
32,77,52
67,98,43
16,90,86
48,74,39
24,78,80
35,68,98
86,37,52
55,98,79
18,50,54
33,85,54
38,21,24
23,53,35
63,37,73
90,46,53
88,75,83
94,53,69
43,97,93
72,50,31
44,84,95
95,41,93
41,11,49
90,56,76
63,77,70
55,92,71
20,38,54
98,98,38
20,13,15
92,64,66
34,80,68
79,11,80
64,92,38
58,51,34
82,59,75
71,50,84
17,26,42
82,89,60
30,34,46
42,90,51
68,98,82
70,54,78
61,43,56
80,76,74
71,33,84
67,33,99
59,11,51
42,71,54
58,55,34
54,90,74
96,66,75
28,94,71
50,36,48
80,82,49
94,90,78
78,36,83
85,26,80
55,61,11
97,66,76
63,7,69
81,94,62
70,53,35
19,81,93
98,91,29
37,75,42
97,64,91
39,42,76
25,33,51
51,11,58
74,50,74
3,81,83
76,62,23
54,31,52
62,93,74
75,87,26
75,71,14
85,82,58
87,58,45
91,72,61
97,52,88
74,59,49
66,53,34
42,43,61
88,84,91
13,98,93
10,39,30
86,66,30
16,39,45
25,52,64
45,46,4
46,9,50
62,18,48
80,70,12
61,69,13
97,33,84
63,78,48
33,72,89
59,71,96
47,79,96
52,66,80
13,43,44
61,30,42
15,51,53
13,15,5
14,10,13
55,85,93
28,49,30
61,62,98
87,52,96
25,27,43
47,84,49
73,74,60
35,49,51
39,27,49
85,69,74
46,53,47
65,13,55
47,61,46
46,40,17
17,34,18
60,84,86
36,81,89
40,72,39
77,33,52
28,24,49
61,94,80
60,48,54
85,55,90
35,16,25
75,16,73
74,53,68
86,88,99
43,91,98
96,64,98
80,59,37
25,64,53
63,76,97
36,61,43
58,66,32
6,14,10
59,50,72
61,53,80
68,96,82
12,99,89
60,42,98
32,57,54
21,74,80
92,67,30
63,17,47
25,50,69
82,69,66
99,62,63
87,56,50
97,90,55
47,27,21
97,42,96
79,96,56
69,76,46
84,84,5
71,28,87
65,53,99
37,37,23
47,27,37
56,53,6
90,77,87
7,33,39
37,87,57
38,56,47
70,34,54
70,93,97
93,69,36
37,45,80
25,83,83
78,50,78
74,81,82
95,61,61
66,47,27
72,69,53
22,30,24
45,88,54
43,45,39
45,94,67
69,79,24
92,22,93
46,87,90
31,61,72
62,98,48
75,30,46
97,46,82
8,8,3
80,83,85
41,73,48
44,70,99
22,95,88
71,36,63
44,76,58
22,37,33
72,58,27
46,77,81
48,85,98
42,63,38
92,58,72
66,44,30
78,74,81
92,80,20
68,84,83
53,94,56
14,80,92
78,53,70
42,60,75
54,32,61
96,62,47
90,35,69
58,20,65
36,50,85
74,20,76
90,97,71
24,40,43
72,93,39
48,96,75
41,20,36
33,56,38
78,47,44
46,85,45
54,35,56
87,88,26
88,89,83
62,84,29
14,62,50
77,66,79
23,22,13
39,86,64
12,77,75
47,34,68
62,22,44
69,82,48
54,78,47
88,91,76
98,65,83
92,73,40
28,43,59
37,47,74
32,82,91
43,43,4
68,23,84
47,78,87
40,94,84
61,40,76
67,87,36
81,51,79
78,79,45
53,32,42
27,65,56
36,47,19
46,54,16
73,72,81
40,87,94
33,54,37
6,71,69
51,96,76
10,56,61
82,96,45
50,62,70
38,83,81
97,90,22
32,45,74
41,62,89
24,23,22
84,93,44
53,45,43
66,86,88
50,29,77
44,12,36
38,41,62
42,52,56
46,35,32
63,44,64
53,49,45
45,17,48
77,37,51
68,22,71
84,31,69
10,73,74
31,30,5
94,60,39
42,72,52
54,60,7
82,48,85
66,68,67
92,49,65
41,83,53
48,30,33
43,73,40
43,31,34
24,9,31
25,88,73
57,32,64
32,67,56
29,21,25
70,74,38
46,17,31
49,50,92
39,27,24
58,63,17
90,63,34
41,84,97
25,12,34
66,63,95
37,52,59
69,24,81
58,52,14
41,60,83
97,94,99
85,50,89
64,17,72
35,63,41
33,65,90
74,62,25
74,62,97
35,35,45
80,44,78
34,77,92
47,57,42
60,30,50
84,59,81
80,66,64
86,49,83
69,43,58
41,34,49
99,62,77
81,91,85
79,90,43
51,68,56
81,60,72
21,36,21
66,26,68
39,48,46
66,81,50
97,61,77
36,40,43
54,45,85
39,37,51
64,29,47
43,32,55
14,57,60
34,52,49
17,47,36
84,82,4
34,29,56
31,77,84
73,87,87
80,72,77
98,76,79
71,45,76
45,60,63
45,79,86
99,98,49
51,63,13
91,39,94
48,95,49
68,42,65
45,75,61
20,81,79
76,80,65
40,58,38
56,33,32
99,97,32
52,41,51
20,81,65
55,36,28
90,48,45
57,18,52
35,35,2
79,26,90
99,56,93
99,71,83
55,5,54
35,89,81
55,58,73
79,22,97
43,93,89
55,46,71
40,88,97
44,62,34
80,72,59
78,93,67
27,55,54
6,63,64
6,86,82
90,86,25
49,41,74
68,35,75
88,63,90
27,4,28
59,14,65
80,74,21
33,12,33
84,92,33
32,83,94
80,68,33
70,65,46
66,60,39
69,38,84
69,56,38
92,73,90
49,33,35
78,18,70
27,50,49
72,58,59
24,70,53
98,34,78
63,61,66
87,13,86
21,49,52
67,40,42
25,85,93
28,55,77
52,52,11
69,54,35
62,19,80
61,37,66
47,31,21
37,59,25
48,48,53
90,93,45
99,90,98
51,89,55
64,97,41
74,43,67
70,31,45
98,41,90
85,65,60
80,59,31
18,26,31
80,97,86
93,93,16
5,89,88
56,59,95
95,63,46
82,47,82
71,98,48
22,97,96
37,80,71
99,99,45
81,67,49
86,77,60
39,60,85
78,78,28
92,69,39
46,28,62
71,92,60
49,88,52
69,56,25
90,70,34
82,80,24
49,23,34
61,62,99
84,46,75
30,31,30
99,24,80
19,27,14
51,64,60
73,21,90
19,94,88
88,78,57
77,90,95
28,44,66
85,65,37
56,27,43
33,80,85
30,66,65
39,58,85
37,60,94
98,44,76
80,47,92
69,20,80
46,49,74
22,16,12
63,70,43
48,14,61
43,62,59
67,80,28
44,26,28
65,61,97
39,82,97
42,23,59
78,38,75
96,90,72
94,26,73
47,96,82
53,52,45
40,8,33
24,33,11
75,66,73
47,73,64
67,28,78
93,77,83
94,79,55
11,15,9
56,18,65
21,12,28
30,50,34
62,81,93
20,53,47
44,87,92
28,37,45
58,33,64
42,11,40
65,51,59
31,59,87
16,52,48
41,50,49
70,62,89
70,66,49
23,16,15
96,89,46
93,64,93
63,62,59
90,80,59
54,70,59
97,89,13
77,10,86
91,85,18
66,59,28
84,88,54
74,81,71
21,68,61
67,61,98
35,83,86
28,46,45
76,24,82
86,46,42
70,35,44
47,24,42
45,58,17
14,74,76
66,56,87
64,67,74
29,82,57
85,56,55
40,33,38
85,38,79
60,52,32
88,95,19
28,40,57
16,53,45
39,76,85
89,80,75
84,41,49
14,80,91
99,50,88
92,25,72
83,94,21
46,84,95
86,77,65
84,99,54
31,91,88
80,79,13
92,38,90
19,48,45
54,53,71
48,40,36
80,22,60
96,91,28
89,86,71
76,84,19
59,65,59
71,24,80
84,22,79
9,57,64
81,53,53
15,54,56
57,96,93
38,87,60
77,94,19
64,21,61
75,40,99
23,35,18
64,98,83
75,30,94
52,74,60
43,56,62
90,91,34
63,61,29
47,39,59
56,93,59
62,20,74
20,84,80
22,69,63
69,56,20
82,42,44
62,47,91
21,31,47
99,40,66
68,96,32
13,82,85
21,16,36
85,37,56
25,85,61
86,52,40
56,73,36
93,21,76
79,85,54
39,87,80
89,55,50
51,95,61
72,53,64
60,56,45
94,98,52
23,59,40
41,97,71
68,27,81
38,48,72
33,31,37
40,24,30
45,66,41
79,70,64
73,73,49
6,41,45
53,81,86
99,90,14
38,31,64
46,31,24
73,78,60
30,93,94
84,90,30
72,84,55
24,57,56
89,78,68
45,97,63
34,15,26
31,58,48
62,88,29
73,76,10
34,89,59
86,30,87
30,96,70
94,99,87
83,55,52
38,47,76
70,55,97
82,73,50
92,77,62
77,15,63
46,79,87
78,73,15
20,87,81
74,98,32
79,44,62
18,68,56
11,76,76
46,59,42
58,63,29
22,68,58
62,70,66
40,37,60
37,89,67
15,94,88
32,44,14
20,64,51
65,36,81
74,81,77
83,23,96
52,65,49
92,36,80
82,84,7
27,33,12
49,54,44
63,85,35
34,21,46
67,99,95
52,27,36
95,84,94
32,34,12
96,86,44
24,35,56
62,75,26
5,77,81
25,74,54
63,38,79
26,88,94
88,55,69
70,95,42
77,61,63
97,79,59
33,62,60
70,37,48
83,93,48
60,82,69
64,54,61
21,96,78
67,72,47
36,87,99
55,41,51
24,70,61
84,74,46
78,35,70
78,75,79
72,22,53
68,82,96
37,84,84
51,8,56
64,66,12
53,17,69
31,39,51
9,40,39
64,60,90
97,97,43
52,42,80
62,70,54
54,69,89
81,47,46
92,70,84
46,87,88
56,64,96
42,26,24
15,24,25
24,75,78
65,55,21
73,72,59
46,48,83
59,75,41
9,26,27
84,74,44
82,44,81
4,68,65
63,91,79
75,93,41
67,20,68
44,49,10
96,48,79
63,64,21
37,80,95
28,78,91
82,84,17
46,45,4
60,41,98
23,67,60
21,61,74
96,36,94
91,37,63
55,75,45
38,47,21
12,27,17
25,48,39
31,46,73
30,46,23
28,32,35
69,69,13
67,41,53
58,57,97
22,38,51
97,40,77
48,49,3
89,61,89
32,28,24
94,40,89
48,69,44
63,77,52
56,56,53
55,87,94
91,43,67
39,64,68
